repository_name,repository_language
thorian93/ansible-role-postfix,YAML
thorian93/ansible-role-common,YAML
thorian93/ansible-role-fail2ban,YAML
thorian93/ansible-role-wordpress,YAML
tiberiushunter/hassio-config,YAML
thorian93/ansible-role-matomo,YAML
thorian93/ansible-role-webserver,YAML
thorian93/ansible-role-common-proxy,YAML
thorian93/ansible-role-ntp,YAML
thorian93/ansible-role-sudo,YAML
thorian93/ansible-role-ttrss,YAML
thorian93/ansible-role-unattended-upgrade,YAML
thorian93/ansible-role-upgrade,YAML
thorian93/ansible-role-php,YAML
thorian93/ansible-role-nfs-client,YAML
thorian93/ansible-role-meilisearch,YAML
thorian93/ansible-role-journald,YAML
thorian93/ansible-role-firewall,YAML
usnistgov/macos_security,YAML
idealista/prometheus_server_role,YAML
idealista/prometheus_alertmanager_role,YAML
argoflow/argoflow-azure,YAML
angudadevops/jenkins,YAML
argoflow/argoflow-gcp,YAML
idealista/prometheus_haproxy_exporter_role,YAML
camunda-community-hub/camunda-helm,YAML
thorian93/ansible-role-checkmk-server,YAML
thorian93/ansible-role-checkmk-client,YAML
cmuck/config-files,YAML
njhlai/serverform,YAML
HorlogeSkynet/Nftables,YAML
akutschi/ansible_wireguard,YAML
idealista/prometheus_mysqld_exporter_role,YAML
idealista/mysql_role,YAML
adiswami14/ssh-automation,YAML
gleich/actions,YAML
laddp/ansible-stuff,YAML
idealista/libgeos_role,YAML
idealista/pushgateway_role,YAML
akutschi/ansible_ufw,YAML
akutschi/ansible_gitlab_runner,YAML
akutschi/ansible_auto_update,YAML
akutschi/ansible_ssh_hardening,YAML
hummingbird-me/api-docs,YAML
Parakoopa/riptide-repo,YAML
ansistrano/deploy,YAML
ansistrano/rollback,YAML
thorian93/ansible-role-certbot,YAML
noobient/noobuntu,YAML
shaderecker/ansible-pihole,YAML
daczarne/codestackr_vscode_hero,YAML
shaderecker/bootstrap-ubuntu,YAML
clustership/ansible-ocp4-ipi-install,YAML
sleighzy/useful-project-templates,YAML
TimGrt/rancher-installation,YAML
maxflintoff/hello-world,YAML
idealista/jira_role,YAML
0xConnorRhodes/ansible-playbooks,YAML
cguertin14/k3s-ansible-ha,YAML
TimGrt/prepare-rpi-hosts,YAML
redhat-cop/tower_utilities,YAML
kkrings/ansible-roles,YAML
CoFH/cofh.github.io,YAML
TimGrt/ansible-anwendertreffen-demo-playbooks,YAML
jpclipffel/ansible_role.k8s_base,YAML
jpclipffel/ansible_project.k8s,YAML
SelimHorri/kubernetes-deployment-yml-exp,YAML
RedHat-EMEA-SSA-Team/hetzner-ocp4,YAML
FedorenkaAvenue/Magallanes,YAML
idealista/oracle_instant_client_role,YAML
idealista/prometheus_blackbox_exporter_role,YAML
89luca89/terrible,YAML
AnthonyRubiano/homelab-ansible,YAML
debemdeboas/cisco-csr-automation,YAML
bestewolke/openstack-dynamic-inventory,YAML
bestewolke/ansible-os-mgr,YAML
sleighzy/ansible-zookeeper,YAML
cloud-astrid-tech/onsite,YAML
sleighzy/k3s-traefik-v2-kubernetes-crd,YAML
sleighzy/k3s-traefik-forward-auth-openid-connect,YAML
sleighzy/ansible-kafka,YAML
TimGrt/development-setup,YAML
idealista/promscale_role,YAML
streetcomplete/streetcomplete-mapstyle,YAML
Iconicto/Kubernetes-Config,YAML
RealOrangeOne/dotfiles,YAML
lyczak/ClueApiDocs,YAML
89luca89/ansible-fedora-minimal,YAML
0xConnorRhodes/ansible.role-configure_managed_ansible_user,YAML
idealista/nodejs_role,YAML
idealista/prometheus_solr_exporter_role,YAML
sleighzy/k3s-keycloak-deployment,YAML
akutschi/ansible_terraform,YAML
alysoid/ansible-role-log2ram,YAML
alysoid/ansible-role-swap,YAML
alysoid/ansible-role-resolve,YAML
alysoid/ansible-role-network,YAML
joshgantt/packer-image-service,YAML
joshgantt/deploy-from-packer-image,YAML
joshgantt/linux-provisioning,YAML
Nani-o/ansible-role-netdata,YAML
jpclipffel/ansible_role.k8s_metallb,YAML
s21Deniss/evoResult,YAML
fititnt/infrastructure-as-code-ad-hoc-ansible,YAML
angudadevops/istio-k8s,YAML
thorian93/Minecraft-Server,YAML
Aschay/ansible-lab,YAML
alysoid/ansible-role-wireless,YAML
alysoid/ansible-role-timezone,YAML
alysoid/ansible-role-timesync,YAML
alysoid/ansible-role-locale,YAML
alysoid/ansible-role-hostname,YAML
Jasstkn/molecule-demo-monorepo,YAML
irsal-yunus/ansible-centos,YAML
csakaszamok/catapult,YAML
Lukas-Batema/HobbyInit,YAML
daystram/helm-charts,YAML
ButlerMiles/ansible-role-nameserver,YAML
idealista/timescaledb_role,YAML
Cloudy-Networks/cloudydeploys,YAML
miramar-labs/terraform-k8s,YAML
blalop/pihole_role,YAML
Randsw/k8s-cluster,YAML
shaderecker/ansible-system-updates,YAML
idealista/mockserver_role,YAML
djdanielsson/dotfiles,YAML
titouan-joseph/swarm,YAML
djdanielsson/ansible-diff,YAML
Nani-o/ansible-role-ohmyzsh,YAML
Randsw/devops-task,YAML
Evit15/helm-prometheus-pve-exporter,YAML
NicolasDrapier/IoTDocker,YAML
Randsw/server_m,YAML
Nani-o/home-assistant-config,YAML
Nani-o/ansible-role-home-assistant,YAML
jpclipffel/ansible_role.system_autoupdate,YAML
marcuspat/Misc_Ansible_Playbooks,YAML
marcuspat/ansible,YAML
codinghumanity2347/ansible-git,YAML
bdebyl/deploy_home,YAML
johncorderox/Pharmacy-NDC,YAML
badnetmask/pi-services,YAML
RedHat-EMEA-SSA-Team/hetzner-ocp4-add-on-example,YAML
sleighzy/k3s-minio-deployment,YAML
ker-laeda/nokia-network-engineer-test,YAML
adampeklay/terraform_repo,YAML
aabouzaid/intro-to-k8s-operators-demo,YAML
calpt/nothing-to-see-here,YAML
adampeklay/linux_academy_k8s_cluster_cka,YAML
Randsw/ceph-cluster,YAML
lucasgvarela/kubernetes_kind,YAML
lucasgvarela/dockerlabs,YAML
jpclipffel/ansible_role.k8s_istio,YAML
natashashafqat/kubernetes-resources,YAML
Randsw/server-microservice-compose,YAML
yurrriq/resume,YAML
lucasgvarela/k8s-eks-fargate-devops,YAML
lucasgvarela/kubernetes-course,YAML
chetankhargone/yml,YAML
davidsvejda/Ubuntu2004-CIS,YAML
flybd5/ansible-role-aws-iam,YAML
flybd5/ansible-role-aws-rds,YAML
Euclidean13/k8s-resources,YAML
oseasjs/docker-compose-for-devs,YAML
jrmcdonald/helm-charts,YAML
jrmcdonald/kubernetes-platform,YAML
brodjieski/osx,YAML
htsign/disturbing-sleep-for-azure-functions,YAML
softask-app/api-doc,YAML
HCLTech-SSW/cloud-based-load-testing,YAML
alxzoomer/manjaro-sysprep,YAML
vraja0106/ansible,YAML
clustergarage/janus,YAML
ThijsvL/Portainer,YAML
knoxknot/ansible-roles,YAML
Nani-o/ansible-role-fzf,YAML
Nani-o/ansible-role-htpasswd,YAML
Nani-o/ansible-role-python,YAML
Nani-o/ansible-role-django,YAML
Nani-o/ansible-role-mono,YAML
Nani-o/ansible-role-dotfiles,YAML
Nani-o/ansible-role-golang,YAML
Nani-o/ansible-role-lxd,YAML
dleidert/jekyll-theme-wgdd-i18n,YAML
Nani-o/ansible-role-certbot,YAML
Nani-o/ansible-role-seedbox,YAML
Nani-o/ansible-role-wireguard,YAML
Nani-o/ansible-role-jackett,YAML
Nani-o/ansible-role-postgresql,YAML
Nani-o/ansible-role-hound,YAML
jevi-me/k8s_on_openstack_kilo,YAML
Nani-o/ansible-role-lxc-deploy,YAML
Nani-o/ansible-role-glusterfs,YAML
dleidert/travis-ci-ghp-gh-pages,YAML
dleidert/travis-ci-ghp-master-docs,YAML
dleidert/travis-ci-ghp-master,YAML
opencrypto-io/data,YAML
opencrypto-io/schema,YAML
komish/terraria_server,YAML
mana/manaserv,SQL
redaxmedia/redaxscript,SQL
jkk/eidogo,SQL
kovyrin/db-charmer,SQL
acani/AcaniChat,SQL
cloudwu/skynet,SQL
ganglia/ganglia-web,SQL
nearinfinity/redis-commander,SQL
kumarnitin/RedisLive,SQL
openzipkin/zipkin,SQL
ginatrapani/ThinkUp,SQL
pallets/flask,SQL
gousiosg/github-mirror,SQL
twitter/finagle,SQL
zefhemel/persistencejs,SQL
symfony-fr/symfony-docs-fr,SQL
Star2Billing/newfies-dialer,SQL
liquibase/liquibase,SQL
dojo/demos,SQL
manifestinteractive/easyapns,SQL
openengsb/openengsb-framework,SQL
interconnectit/Search-Replace-DB,SQL
dojo/dojox,SQL
Studio-42/elFinder,SQL
collectd/collectd,SQL
joomla/joomla-platform,SQL
SpringSource/spring-security-oauth,SQL
renxing/quora-python,SQL
bigtreecms/BigTree-CMS,SQL
pressflow/6,SQL
kla/php-activerecord,SQL
habari/system,SQL
isotope/core,SQL
xcatsan/iOS-Sample-Code,SQL
cartalyst/sentry,SQL
yiisoft/yii,SQL
jboss-jdf/jboss-as-quickstart,SQL
springside/springside4,SQL
osTicket/osTicket-1.7,SQL
SpringSource/spring-integration-samples,SQL
flot/flot,SQL
tylerhall/simple-php-framework,SQL
roundcube/roundcubemail,SQL
getchabooks/getchabooks,SQL
candlepin/candlepin,SQL
tomahawk-player/tomahawk,SQL
mspnp/cqrs-journey-code,SQL
rlerdorf/WePloy,SQL
theory/sqitch,SQL
droolsjbpm/jbpm,SQL
centurion-project/Centurion,SQL
django/djangoproject.com,SQL
robconery/massive,SQL
anandkunal/ToroPHP,SQL
pods-framework/pods,SQL
Singly/hallway,SQL
cuckoobox/cuckoo,SQL
opentibia/server,SQL
sourcefabric/Booktype,SQL
rsim/oracle-enhanced,SQL
mozilla/playdoh,SQL
PublicMapping/DistrictBuilder,SQL
sqlmapproject/sqlmap,SQL
nhibernate/nhibernate-core,SQL
Daenyth/Cockatrice,SQL
Elgg/Elgg,SQL
benedmunds/CodeIgniter-Ion-Auth,SQL
CollaboratingPlatypus/PetaPoco,SQL
Normation/rudder,SQL
kvz/cakephp-rest-plugin,SQL
creationix/nvm,SQL
networkx/networkx,SQL
orderly/symfony2-paypal-ipn,SQL
maccman/holla,SQL
Cronus-Emulator/Cronus,SQL
ippontech/tatami,SQL
jquery/testswarm,SQL
dg/dibi,SQL
kormoc/Query-Digest-UI,SQL
gburtini/Learning-Library-for-PHP,SQL
abenzer/represent-map,SQL
opencoweb/coweb,SQL
eldarion/pycon,SQL
oarevalo/BugLogHQ,SQL
tvheadend/tvheadend,SQL
eryx/php-framework-benchmark,SQL
addyosmani/backbone-boilerplates,SQL
basercms/basercms,SQL
PEXPlugins/PermissionsEx,SQL
sk89q/WorldGuard,SQL
swganh/mmoserver,SQL
phalcon/invo,SQL
inspircd/inspircd,SQL
box/Anemometer,SQL
oliverw92/HawkEye,SQL
Wizmann/ACM-ICPC,SQL
facebook/phabricator,SQL
developmentseed/node-sqlite3,SQL
schambers/fluentmigrator,SQL
DiliCMS/DiliCMS,SQL
soonick/poMMo,SQL
clevertech/YiiBackbone,SQL
fcitx/fcitx,SQL
nutzam/nutzdemo,SQL
mifos/head,SQL
weyrick/roadsend-php,SQL
omeka/Omeka,SQL
igrigorik/em-synchrony,SQL
FogCreek/WebPutty,SQL
naparuba/shinken,SQL
poweradmin/poweradmin,SQL
filad/dndUploader,SQL
drnic/composite_primary_keys,SQL
apache/sqoop,SQL
symphonycms/symphony-2,SQL
chiliproject/chiliproject,SQL
stffn/declarative_authorization,SQL
cobub/razor,SQL
phingofficial/phing,SQL
ccoenraets/wine-cellar-php,SQL
ccoenraets/backbone-cellar,SQL
spadefoot/kohana-orm-leap,SQL
chielkunkels/tinker,SQL
stf-storage/stf,SQL
openhatch/oh-mainline,SQL
universal-ctags/ctags,SQL
cdhowie/Bitcoin-mining-proxy,SQL
prashants/webzash,SQL
SpringSource/spring-social,SQL
yandod/candycane,SQL
till/easybib-cookbooks,SQL
atomia/atomiadns,SQL
Star2Billing/cdr-stats,SQL
Froxlor/Froxlor,SQL
geany/geany-plugins,SQL
softa/activerecord-postgres-hstore,SQL
ccoenraets/backbone-jax-cellar,SQL
ericbae/XTA2,SQL
SpringSource/spring-data-book,SQL
laiwei/thepast,SQL
victorykit/victorykit,SQL
ualibraries/Guide-on-the-Side,SQL
amazonwebservices/aws-sdk-for-php,SQL
cescoffier/maven-play2-plugin,SQL
NixOS/nix,SQL
cbeams/distyles,SQL
Cotonti/Cotonti,SQL
ForceDotComLabs/Milestones-PM,SQL
vrana/notorm,SQL
Datawalke/Coordino,SQL
SpringSource/greenhouse,SQL
wangyan/lanmp,SQL
atutor/ATutor,SQL
dbsrgits/dbix-class,SQL
jerryhoff/WebGoat.NET,SQL
gleez/cms,SQL
giovanniramos/PDO4You,SQL
klazuka/Kal,SQL
NielsLeenheer/html5test,SQL
osclass/Osclass,SQL
anchorcms/anchor-cms,SQL
jesperfj/sfdc-oauth-playground,SQL
OpenACD/OpenACD,SQL
0xd34df00d/leechcraft,SQL
livestreet/livestreet,SQL
andoma/showtime,SQL
facebook/tornado,SQL
Impactstory/total-impact-core,SQL
michael-romer/zf-boilerplate,SQL
commontk/CTK,SQL
SenchaProSvcs/UnitTestDemo,SQL
jrmadsen67/Mahana-Messaging-library-for-CodeIgniter,SQL
Arkania/ArkCORE,SQL
gboudreau/Greyhole,SQL
garethdown44/nbuilder,SQL
mikehadlow/EasyNetQ,SQL
jasonhinkle/phreeze,SQL
slick/slick,SQL
akosma/iPhoneWebServicesClient,SQL
alexgheorghiu/diagramo,SQL
mobolic/facebook-sdk,SQL
opengeo/GeoGit,SQL
nutzam/nutzmore,SQL
WCell/WCell,SQL
ccoenraets/angular-cellar,SQL
ccoenraets/backbone-directory,SQL
tokuhirom/Amon,SQL
t2v/play20-auth,SQL
github/linguist,SQL
colinbjohnson/aws-missing-tools,SQL
icos-urenio/Improve-my-city,SQL
derickbailey/Albacore,SQL
dmi3yy/modx.evo.custom,SQL
phpmasterdotcom/WritingARESTfulWebServiceWithSlim,SQL
jkowalski/NLog,SQL
insoshi/insoshi,SQL
karlproject/karl,SQL
ryandotsmith/queue_classic,SQL
expand/eXpand,SQL
Byzantium/Byzantium,SQL
snowplow/snowplow,SQL
mhop/fhem-mirror,SQL
maxlapshin/mysql2postgres,SQL
phpwind/windframework,SQL
simplepie/simplepie,SQL
andrespagella/Making-Isometric-Real-time-Games,SQL
Arelle/Arelle,SQL
android/platform_packages_apps_calendar,SQL
hakko/musiccabinet,SQL
hatena/Hatena-Textbook,SQL
QLeelulu/goku,SQL
stevenbristol/lovd-by-less,SQL
dlecan/play2-war-plugin,SQL
resteasy/Resteasy,SQL
arcemu/arcemu,SQL
SpringSource/spring-integration,SQL
AlloVince/eva-engine,SQL
SerhoLiu/CodeShare,SQL
SAEPython/saepythondevguide,SQL
Myrcon/Procon-1,SQL
RackTables/racktables,SQL
nganhtuan63/gxc-cms,SQL
memsql/workload-simulator,SQL
splitbrain/dokuwiki,SQL
ajstarks/openvg,SQL
axsh/wakame-vdc,SQL
SpringSource/spring-batch,SQL
fiorix/cyclone,SQL
infusion/udf_infusion,SQL
seblucas/cops,SQL
AxonFramework/AxonFramework,SQL
DbUp/DbUp,SQL
twilio/OpenVBX,SQL
Sarjuuk/aowow,SQL
seamusabshere/mysql2xxxx,SQL
parasew/instiki,SQL
BenTheDesigner/Dropbox,SQL
ericmoritz/wsdemo,SQL
back2arie/Kalkun,SQL
bmeike/ProgrammingAndroid2Examples,SQL
jabberd2/jabberd2,SQL
movabletype/movabletype,SQL
phpfreak/Project-Pier,SQL
SpringSource/Spring-Integration-in-Action,SQL
ImmobilienScout24/yum-repo-server,SQL
DE-IBH/apt-dater,SQL
processone/ejabberd,SQL
Khan/khan-api,SQL
gatein/gatein-portal,SQL
porcelli/plsql-parser,SQL
trema/apps,SQL
ErshKUS/OpenStreetMap.ru,SQL
codai/Sharp-Lite,SQL
rasmusbergpalm/jslate,SQL
taobao/ADFS,SQL
chyrp/chyrp,SQL
sonalgoyal/crux,SQL
jbroadway/elefant,SQL
jywarren/cartagen,SQL
KirinJS/Kirin,SQL
hbutani/SQLWindowing,SQL
madcowfred/evething,SQL
janko-m/sinatra-activerecord,SQL
cgrates/cgrates,SQL
evemuproject/evemu_server,SQL
phpnode/YiiBlocks,SQL
rvolz/BicBucStriim,SQL
phundament/app,SQL
AKSW/OntoWiki,SQL
tlhunter/neoinvoice,SQL
esnme/ultramysql,SQL
RosYama/RosYama.2,SQL
rcongiu/Hive-JSON-Serde,SQL
jtalks-org/jcommune,SQL
igor-tkachev/bltoolkit,SQL
sumory/sumorio,SQL
breath-co2/myqee,SQL
graviox/Roundcube-CardDAV,SQL
clintberry/backbone-directory-auth,SQL
zeromq/czmq,SQL
skywave/KV78Turbo-OVAPI,SQL
bitly/simplehttp,SQL
thyseus/yii-user-management,SQL
volkszaehler/volkszaehler.org,SQL
mysociety/fixmystreet,SQL
markokr/skytools,SQL
zigdon/xkcd-Bucket,SQL
haseydesign/flexi-auth,SQL
nodize/nodizecms,SQL
LeonardoCardoso/Facebook-Link-Preview,SQL
jonwagner/Insight.Database.Schema,SQL
Libertree/libertree,SQL
hugodias/cakeStrap,SQL
javalite/activejdbc,SQL
sivann/itdb,SQL
ScrumDoLLC/ScrumDo,SQL
gallery/gallery3,SQL
databasically/lowdown,SQL
dhawalhshah/class-central,SQL
gregs1104/pgbench-tools,SQL
bjyoungblood/BjyAuthorize,SQL
angryziber/simple-java,SQL
DataTables/DataTables,SQL
lalinsky/mbslave,SQL
SocalNick/ScnSocialAuth,SQL
hotkeyEVE/eve,SQL
esl/ejabberd,SQL
quartznet/quartznet,SQL
RubyMoney/money-rails,SQL
andyyoung/Selective-Tweets,SQL
pwnieexpress/Raspberry-Pwn,SQL
simonbingham/xindi,SQL
AntonShevchuk/Bluz,SQL
yiiext/with-related-behavior,SQL
Bettermeans/bettermeans,SQL
Goteo/Goteo,SQL
jakecoffman/flask-tutorial,SQL
wanderingstan/Lifeslice,SQL
alminium/alminium,SQL
ReneNyffenegger/development_misc,SQL
agentzh/ngx_openresty,SQL
dcaoyuan/aiotrade,SQL
jasonroelofs/raidit,SQL
yiiext/nested-set-behavior,SQL
cburgmer/cjklib,SQL
playframework/modules.playframework.org,SQL
jgilfelt/android-sqlite-asset-helper,SQL
rubensayshi/gw2spidy,SQL
savetheinternet/Tinyboard,SQL
mark-watson/java_practical_semantic_web,SQL
padraic/mockery,SQL
rupl/drush_make_generator,SQL
BigBrotherBot/big-brother-bot,SQL
tracmor/tracmor,SQL
QLeelulu/ohlala,SQL
johndel/Rails-Simple-CMS,SQL
saberma/shopqi,SQL
mroonga/mroonga,SQL
biopython/biopython,SQL
mathiasbynens/jsperf.com,SQL
hippich/Bitcoin-Poker-Room,SQL
davemckain/qtiworks,SQL
FubuMvcArchive/storyteller,SQL
keplerproject/luasql,SQL
keplerproject/orbit,SQL
koto/blog-kotowicz-net-examples,SQL
eggert/tz,SQL
fengmk2/todo,SQL
jjensen/luaplus51-all,SQL
d2rq/d2rq,SQL
linowski/fluidia,SQL
scriptdev2/scriptdev2,SQL
bmeike/ProgrammingAndroidExamples,SQL
chrisdee/Scripts,SQL
echowaves/echowaves,SQL
CyanogenMod/android_frameworks_av,SQL
gabebw/dotfiles,SQL
okws/okws,SQL
shaneharter/PHP-Daemon,SQL
ezsystems/ezp-next,SQL
github/rails,SQL
pikusov/Simpla,SQL
chucknorris/roundhouse,SQL
mikelbring/tinyissue,SQL
yariv/erlyweb,SQL
drotiro/postpic,SQL
jcranky/lojinha,SQL
apache/jackrabbit,SQL
Pylons/pyramid_cookbook,SQL
kaznum/sanataro,SQL
GMOD/jbrowse,SQL
excilys/gatling,SQL
p2pu/lernanta,SQL
buddycloud/buddycloud-server,SQL
MilkZoft/codejobs,SQL
mustafaramadhan/kloxo,SQL
Darkpeninsula/Darkcore,SQL
SciTools/iris,SQL
rjmarsan/Weka-for-Android,SQL
brianm/jdbi,SQL
bsgreenb/Open-Textbooks,SQL
griddynamics/jagger,SQL
fuelphp/validation,SQL
willuhn/hibiscus,SQL
int13h/squert,SQL
qos-ch/logback,SQL
bmoeskau/Extensible,SQL
skyscreamer/yoga,SQL
activewarehouse/activewarehouse,SQL
mapserver/mapserver,SQL
sdruby/sdruby,SQL
subsonic/SubSonic-3.0,SQL
cea-hpc/robinhood,SQL
sni/Thruk,SQL
danbartlett/opensit,SQL
box/RainGauge,SQL
jhurliman/node-echoprint-server,SQL
loiane/curso-extjs4,SQL
kre/Kinetic-Rules-Engine,SQL
ajaxorg/ace-builds,SQL
omniti-labs/pg_jobmon,SQL
quizlet/oauth2-php,SQL
banq/jdonframework,SQL
makersoft/mybatis-shards,SQL
envms/fluentpdo,SQL
jackc/surus,SQL
friendica/red,SQL
kukulich/fshl,SQL
mishamx/yii-user,SQL
xianglei/easyhadoop,SQL
Agilefant/agilefant,SQL
antonraharja/playSMS,SQL
intel-hadoop/HiTune,SQL
philipsoutham/py-mysql2pgsql,SQL
tidyui/Piranha,SQL
gregdingle/genetify,SQL
TGAC/miso-lims,SQL
epicvrvs/RiotControl,SQL
QuickAppsCMS/QuickApps-CMS,SQL
mbotos/Automated-Testing-for-Force.com,SQL
silexlabs/amfphp-2.0,SQL
ccoenraets/wine-cellar-java,SQL
ezsystems/ezfind,SQL
blackducksoftware/ohcount,SQL
sharedferret/Sparkle-Turntable-Bot,SQL
lmsgit/lms,SQL
Hoektronics/BotQueue,SQL
ericpaulbishop/gargoyle,SQL
mbilbille/jpnforphp,SQL
lastfm/musicbrainz-data,SQL
anhstudios/swganh,SQL
ocStore/ocStore,SQL
jdorn/php-reports,SQL
hibernate/hibernate-tools,SQL
jsevellec/cassandra-unit,SQL
funnelweblog/FunnelWeb,SQL
petewarden/dstk,SQL
HeidiSQL/HeidiSQL,SQL
akwei/halo-dal,SQL
osCommerce/oscommerce,SQL
vincent-zhao/Myfox-query-module,SQL
omniscale/imposm,SQL
SynoCommunity/spksrc,SQL
hkrn/MMDAI,SQL
evantahler/PHP-DAVE-API,SQL
MapQuest/MapQuest-Mapnik-Style,SQL
junalmeida/Sick-Beard,SQL
disqus/disqus-wordpress,SQL
azkaban/azkaban,SQL
avalanche123/symfony-docs-ru,SQL
plusglobal/BrowniePHP,SQL
pd-l2ork/pd,SQL
platformlayer/platformlayer,SQL
benedmunds/CodeIgniter-Standard-Project,SQL
zotero/dataserver,SQL
xianglei/phpHiveAdmin,SQL
arquillian/arquillian-examples,SQL
ColdBox/coldbox-platform,SQL
DaBourz/SimpleLoginSecure,SQL
leedo/alice,SQL
eksopl/asagi,SQL
kubo/ruby-oci8,SQL
robconery/massive-js,SQL
senseidb/sensei,SQL
jedisct1/libpuzzle,SQL
shinokada/Kaimonokago,SQL
xw2423/nForum,SQL
Joomla3-Admin-template/joomla-cms,SQL
osCommerce/oscommerce2,SQL
djpate/jTag,SQL
eddiejaoude/Zend-Framework--Doctrine-ORM--PHPUnit--Ant--Jenkins-CI--TDD-,SQL
libcpu/libcpu,SQL
CypherX/xAuth,SQL
kousen/Making-Java-Groovy,SQL
html5-ia/html5-ia,SQL
NixOS/hydra,SQL
feross/Instant.fm,SQL
vmware-serengeti/serengeti-ws,SQL
openparty/openparty,SQL
ionize/ionize,SQL
padcms/PadCMS-backend,SQL
allwefantasy/ServiceFramework,SQL
whatnickcodes/Facebook-Starter-Kit-for-Codeigniter,SQL
JetBrains/kotlin-web-demo,SQL
sanger-pathogens/Artemis,SQL
mediacore/mediacore-community,SQL
omniti-labs/reconnoiter,SQL
tmsmith/Dapper-Extensions,SQL
algaworks/curso-desenvolvimento-web-com-jsf2,SQL
AKSW/Sparqlify,SQL
krimple/spring-roo-in-action-examples,SQL
pmsipilot/Crew,SQL
sharpstill/CronHub,SQL
ucb-bar/chisel,SQL
bakineggs/recurring_events_for,SQL
vasa-c/go-db,SQL
bskari/sqlassie,SQL
johnmyleswhite/ProjectTemplate,SQL
chewing/libchewing,SQL
SpringSource/spring-integration-dsl-scala,SQL
GiveCampUK/GiveCRM,SQL
jelix/jelix,SQL
jmafc/Pyrseas,SQL
dimitri/prefix,SQL
jifeon/autodafe,SQL
mysociety/mapit,SQL
Graphite-Tattle/Tattle,SQL
